"","Country","Pop..Density..per.sq..mi..","Literacy....","GNI","death_percent"
"1","Afghanistan",48,36,500,0.000238851167741685
"2","Albania",124.6,86.5,5210,0.000938672206005324
"3","Algeria",13.8,70,3570,0.000200546059833239
"6","Angola",9.7,42,2140,0.000156261969605027
"7","Antigua and Barbuda",156,89,13750,0.00183770330497193
"8","Argentina",14.4,97.1,9070,0.00304377306522975
"9","Armenia",99.9,98.6,4220,0.00270967473151878
"11","Australia",2.6,100,53690,0.000192656148943732
"12","Austria",97.7,98,48350,0.0016662028493033
"13","Azerbaijan",91.9,97,4480,0.00110266517400544
"14","Bahamas",21.8,95.6,26070,0.0024623893076999
"15","Bahrain",1050.5,89.1,19900,0.00201693423133906
"16","Bangladesh",1023.4,43.1,2030,0.000193356169637487
"17","Barbados",649.5,97.4,14350,0.00100388693589414
"18","Belarus",49.6,99.6,6360,0.00059108068571966
"19","Belgium",340,98,45750,0.00281817238485887
"20","Belize",12.5,94.1,4110,0.00218607722517638
"21","Benin",69.8,40.9,1280,2.07301489111457e-05
"22","Bermuda",1241,98,112240,0.00177884542289389
"23","Bhutan",48.5,42.2,2840,1.75459913331576e-06
"24","Bolivia",8.2,87.2,3180,0.00233740043159196
"26","Botswana",2.7,79.8,6640,0.00157394076104091
"27","Brazil",22.1,86.4,7850,0.00333939239016752
"29","Brunei Darussalam",65.8,93.9,31510,0.000155490665289213
"30","Bulgaria",66.6,98.6,9630,0.00453491343084237
"31","Burkina Faso",50.7,26.6,770,2.66849418958767e-05
"32","Burundi",290.7,51.6,230,1.8541253299725e-06
"33","Cambodia",76.7,69.4,1500,0.000217196690225004
"34","Cameroon",36.5,79,1520,0.000108415449386074
"35","Canada",3.3,97,43580,0.00102822048759761
"36","Cayman Islands",173.4,98,64000,0.000330134694955542
"37","Central African Republic",6.9,51,500,2.55614455322776e-05
"38","Chad",7.7,47.5,630,1.91066129898219e-05
"39","Chile",21.3,96.2,13470,0.00246321188524837
"40","China",136.9,90.9,10550,4.33798632621504e-06
"41","Comoros",318.4,56.5,1400,0.000231565906551578
"42","Democratic Republic of the Congo",26.7,65.5,550,2.03956074372854e-05
